Date,Sentiment,Count,
1/2/2019 0:00,-0.113407823,489,
1/3/2019 0:00,-0.146208533,567,
1/4/2019 0:00,-0.107932693,570,
1/5/2019 0:00,-0.120535716,145,
1/6/2019 0:00,-0.131111112,183,
1/7/2019 0:00,-0.096127565,607,
1/8/2019 0:00,-0.130769233,703,
1/9/2019 0:00,-0.130162415,599,
1/10/2019 0:00,-0.120353984,638,
1/11/2019 0:00,-0.140596332,584,
1/12/2019 0:00,-0.110294118,188,
1/13/2019 0:00,-0.13267974,194,
1/14/2019 0:00,-0.123870969,648,
1/15/2019 0:00,-0.153815263,675,
1/16/2019 0:00,-0.128372095,609,
1/17/2019 0:00,-0.122716629,587,
1/18/2019 0:00,-0.124929974,492,
1/19/2019 0:00,-0.109000001,138,
1/20/2019 0:00,-0.100000001,181,
1/21/2019 0:00,-0.068367348,407,
1/22/2019 0:00,-0.108872903,588,
1/23/2019 0:00,-0.099229288,695,
1/24/2019 0:00,-0.11418048,729,
1/25/2019 0:00,-0.097826088,618,
1/26/2019 0:00,-0.072916667,196,
1/27/2019 0:00,-0.053503185,220,
1/28/2019 0:00,-0.08392157,725,
1/29/2019 0:00,-0.109932662,802,
1/30/2019 0:00,-0.093252596,812,
1/31/2019 0:00,-0.101030929,818,
2/1/2019 0:00,-0.119419644,640,
2/2/2019 0:00,-0.131730769,144,
2/3/2019 0:00,-0.071724139,195,
2/4/2019 0:00,-0.076470589,602,
2/5/2019 0:00,-0.133823531,568,
2/6/2019 0:00,-0.09222904,664,
2/7/2019 0:00,-0.094188378,714,
2/8/2019 0:00,-0.101094093,621,
2/9/2019 0:00,-0.146078434,141,
2/10/2019 0:00,-0.073154364,186,
2/11/2019 0:00,-0.084928718,650,
2/12/2019 0:00,-0.124130881,687,
2/13/2019 0:00,-0.102712478,759,
2/14/2019 0:00,-0.116694775,790,
2/15/2019 0:00,-0.158758317,626,
2/16/2019 0:00,-0.117283953,214,
2/17/2019 0:00,-0.092670158,256,
2/18/2019 0:00,-0.098345155,598,
2/19/2019 0:00,-0.086826348,701,
2/20/2019 0:00,-0.10460922,732,
2/21/2019 0:00,-0.103723406,772,
2/22/2019 0:00,-0.137908498,627,
2/23/2019 0:00,-0.146846848,153,
2/24/2019 0:00,-0.099441343,258,
2/25/2019 0:00,-0.069273744,739,
2/26/2019 0:00,-0.1287695,802,
2/27/2019 0:00,-0.11374322,761,
2/28/2019 0:00,-0.068339769,755,
3/1/2019 0:00,-0.127654323,554,
3/2/2019 0:00,-0.101020408,131,
